run,fileNum,bound status,ligand,receptor,lig_x,lig_y,lig_z,rec_x,rec_y,rec_z,formed_time,broken_time,lig_break_x,lig_break_y,lig_break_z,rec_break_x,rec_break_y,rec_break_z,delta
103,2,1,113,89,-661.123156,-684.972615,39.230603,-650.272841,-679.2771280000001,0.0,20.1404657,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3e-05
103,3,1,75,46,-699.049899,-405.49057,25.073215,-726.1214110000001,-387.388799,0.0,26.877982190999997,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7e-05
104,1,1,19,49,133.99581799999999,158.94411499999998,30.832641,155.96017,174.94798799999998,0.0,4.1276585413,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9e-05
104,2,1,4,65,-500.61377300000004,338.110734,27.991206,-528.438832,326.644668,0.0,18.686857033,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7000000000000002e-05
104,3,1,43,14,138.144261,140.4756,36.725981,147.604829,156.315742,0.0,30.308789601999997,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
105,1,1,34,52,-548.056496,45.703515,34.569387,-532.40454,61.489047,0.0,33.388137728000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9e-06
106,1,1,113,77,-25.752947,72.540162,37.68957,-13.414829000000001,61.747781999999994,0.0,5.9047899624,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2e-05
106,2,1,59,9,738.088707,-332.61990099999997,26.367112,757.629379,-357.361564,0.0,38.917260738,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8000000000000003e-05
106,3,1,143,68,-398.04982,13.069652,12.049351,-365.306989,34.79361,0.0,45.330099616000005,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
107,1,1,67,50,665.436709,617.661393,30.835390000000004,689.60461,630.0833259999999,0.0,28.938599306,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-05
108,1,1,91,30,23.007368,730.081982,35.083581,7.052617999999999,744.357928,0.0,1.7401980378,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3e-05
108,2,1,116,86,-716.522541,-259.40153599999996,35.113393,-709.416228,-239.25806699999998,0.0,21.454968842,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8e-06
108,3,1,25,87,-704.727694,-271.59896200000003,22.282267,-709.131664,-237.34532000000002,0.0,36.34967364,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4e-05
110,1,1,14,39,472.68503899999996,-234.66120899999999,35.568412,491.332488,-225.922273,0.0,31.053538556,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1e-05
110,2,1,35,1,198.670325,-221.28695499999998,38.450990999999995,184.670472,-217.448408,0.0,48.928574401000006,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2e-05
110,3,1,84,56,368.906026,393.92453900000004,19.209568,367.99271600000003,357.601421,0.0,48.983791703,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001e-06
110,4,1,41,60,830.376181,312.053922,20.845729000000002,844.1035410000001,279.40085899999997,0.0,58.318730561,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2e-05
111,1,1,44,84,583.0219480000001,513.658943,35.082899,561.807822,516.550583,0.0,18.455882943,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001e-06
112,1,1,33,72,-326.00029,-631.049491,23.114677,-321.353581,-597.3845660000001,0.0,15.245770175,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2e-05
