renumbered,run,fileNum,bound status,ligand,receptor,lig_x,lig_y,lig_z,rec_x,rec_y,rec_z,formed_time,broken_time,lig_break_x,lig_break_y,lig_break_z,rec_break_x,rec_break_y,rec_break_z,delta
101,175,2,1,143,7,-3.792971,-497.7090940000001,35.352053999999995,-12.550305,-516.755229,0.0,19.840761674,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7e-05
102,141,2,1,62,43,211.983192,-97.879818,36.621699,198.71925,-84.76001600000001,0.0,19.998049593,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
103,170,2,1,59,34,-255.56702400000003,235.052315,33.997784,-235.601838,223.444058,0.0,20.098952052,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-06
104,103,2,1,113,89,-661.123156,-684.972615,39.230603,-650.272841,-679.2771280000001,0.0,20.1404657,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3e-05
105,181,1,1,63,48,72.080596,137.853249,20.055916,42.472576,158.10998999999998,0.0,20.176997763,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
106,80,1,1,57,59,84.060614,839.1905810000001,14.303157999999998,50.901204,819.566994,0.0,20.946594477,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05
107,80,2,1,148,27,730.761091,330.385146,37.222813,713.885289,334.729932,0.0,21.356191708,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9e-05
108,16,1,1,22,82,363.7047,632.57352,38.156943,377.59644,626.227084,0.0,21.451990629,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06
109,108,2,1,116,86,-716.522541,-259.401536,35.113393,-709.416228,-239.258067,0.0,21.454968842,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8e-06
110,166,3,1,11,83,-428.832711,-224.09709,28.206229,-398.981227,-225.68034100000003,0.0,21.570906351,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1e-05
111,179,1,1,76,27,685.627933,296.541987,10.804884,649.2692599999999,312.369436,0.0,21.967844918,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9e-05
112,62,1,1,125,64,-583.223039,356.819649,22.095553,-556.1889110000001,335.136607,0.0,22.110366284,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05
113,91,2,1,100,13,171.556757,-373.035307,22.284104,186.17838,-404.321682,0.0,22.534040864,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06
114,152,1,1,103,63,59.256008,-34.055361,17.488305,92.183788,-51.350812,0.0,22.869472021,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-05
115,39,2,1,21,48,-596.035434,562.157143,27.332874,-586.31948,591.272806,0.0,23.080088332,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9e-05
116,15,1,1,96,24,165.039353,262.64381000000003,36.546637,170.012773,280.777102,0.0,23.167302408,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6e-05
117,155,1,1,32,40,228.339653,-694.6823009999999,32.474661,224.184836,-669.835887,0.0,23.575160636,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06
118,131,1,1,71,27,-385.399008,608.961109,23.913055,-375.883542,641.005288,0.0,23.728791232,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7e-05
119,134,2,1,112,62,-525.59919,424.2375530000001,40.806386,-529.054066,427.717743,0.0,24.05149475,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1e-05
120,191,1,1,10,26,-97.599114,-26.244481,39.364811,-109.33117,-24.836342,0.0,24.134344991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9e-05
121,184,1,1,55,64,-450.769825,-636.644039,38.845241,-445.533008,-624.281493,0.0,24.298944929,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6e-06
122,22,1,1,115,30,-72.223799,720.249105,35.961644,-87.178485,733.376588,0.0,24.314860281,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9e-05
123,199,1,1,94,33,383.117945,751.600676,36.2529,371.137478,766.812909,0.0,24.672338058,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7e-05
124,195,1,1,82,4,490.825921,81.662035,19.184985,454.74306,86.041034,0.0,24.885277098000003,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-05
125,153,1,1,97,26,554.572253,-766.421407,39.760122,546.362865,-772.8203110000001,0.0,24.963170103000003,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2e-05
126,61,1,1,56,47,22.549801,320.674961,28.601907,44.515971,340.388535,0.0,25.085765844,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4e-05
127,45,1,1,102,65,-485.506631,490.475857,29.306572,-512.542872,500.444541,0.0,25.379299562,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2e-05
128,123,2,1,89,74,-211.61442,-219.585944,31.752709000000003,-204.624889,-194.443939,0.0,25.585962036,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8e-05
129,175,3,1,94,36,-459.143004,-240.071508,35.623586,-473.078945,-225.039588,0.0,25.657131483,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2e-05
130,151,1,1,132,38,458.700514,840.0708789999999,34.446869,479.959672,832.95267,0.0,25.680658073000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3e-05
131,161,2,1,53,35,229.797724,-529.232561,34.73924,207.921241,-531.1850049999999,0.0,25.985079662,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3e-05
132,169,2,1,131,7,-183.128732,-778.395741,40.34276,-190.958298,-779.004005,0.0,26.041847688,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-06
133,59,1,1,116,55,20.975118,320.356063,35.226912,29.663183,339.66386600000004,0.0,26.052528925,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1e-05
134,141,3,1,146,69,61.81419399999999,-265.088271,35.169361,82.916157,-267.740492,0.0,26.142403384,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-05
135,4,1,1,64,20,584.525487,316.746232,30.015717,569.714209,292.894768,0.0,26.398660983000003,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6e-06
136,1,1,1,137,89,824.423955,38.366925,26.608876,854.572062,29.865790000000004,0.0,26.544912096,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06
137,60,2,1,116,7,324.159193,755.632694,37.644593,339.557042,761.5490629999999,0.0,26.722214876,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1e-05
138,75,1,1,110,70,265.46092200000004,-820.301601,39.695417,256.70253,-814.23735,0.0,26.742315568,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-06
139,103,3,1,75,46,-699.049899,-405.49057,25.073215,-726.1214110000001,-387.388799,0.0,26.877982191,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7e-05
140,63,1,1,40,11,852.57035,214.408864,30.66275,879.938043,214.53169900000003,0.0,26.891068093,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06
141,52,1,1,51,74,-696.808139,-81.859691,35.418671,-689.1630389999999,-62.46175600000001,0.0,26.90483016,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4e-06
142,168,1,1,32,61,-256.721978,125.750378,37.924937,-266.629454,138.109715,0.0,27.020552201,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-05
143,2,1,1,54,39,-585.037637,553.790107,40.022484000000006,-594.331499,554.806756,0.0,27.513707937,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6e-05
144,72,2,1,61,30,798.299863,-569.481552,24.543537,828.41719,-582.889541,0.0,27.529698542,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3e-05
145,127,1,1,137,12,114.710071,652.8565219999999,38.958638,102.769592,658.228823,0.0,27.841608014,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-05
146,181,2,1,14,17,6.4138470000000005,517.548906,30.397028,-6.35007,493.00681900000006,0.0,28.478232759,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-05
147,107,1,1,67,50,665.436709,617.661393,30.835390000000004,689.60461,630.0833259999999,0.0,28.938599306,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8e-05
148,129,3,1,106,76,147.84902,-577.434472,35.119339000000004,165.04466100000002,-590.089704,0.0,28.947551682,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6e-05
149,114,2,1,70,8,631.091057,339.773612,34.540657,652.0386219999999,347.346821,0.0,29.220944656,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-05
150,75,2,1,7,46,-282.428447,470.433815,22.64675,-273.102963,503.439452,0.0,29.527283003,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05
151,21,1,1,65,19,216.238648,-170.332154,39.552844,221.320502,-160.384491,0.0,29.588692258,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6e-05
152,198,1,1,6,16,724.603801,351.990753,17.052012,755.138013,373.580158,0.0,30.008965135,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05
